id,time,Destination Service Area,Origin Service Area,date,TotalPieces,Status
0000000011,20:00,CORDOBA - PERAI - ARGENTINA,OSAKA - KADOMA - JAPAN,"Wednesday, August 12, 2020 ",,delivered
0000000022,11:48,ATYRAU - KAZAKHSTAN,ALMATY - KAZAKHSTAN,"Wednesday, August 26, 2020 ",,transit
0000000033,10:30,ALMATY - VISEU - KAZAKHSTAN,MILAN - . - ITALY,"Monday, November 02, 2020 ",,delivered
0000000044,23:46,BAHRAIN - MANAMA - BAHRAIN,ALMATY - ALMATY - KAZAKHSTAN,"Friday, September 18, 2020 ",,transit
0000000055,10:44,ATYRAU - ATYRAU - KAZAKHSTAN,ALMATY - ALMATY - KAZAKHSTAN,"Monday, September 07, 2020 ",,transit
0000000066,15:31,ALMATY - OBERKIRCH - KAZAKHSTAN,BASEL - SCHAFFHAUSEN - SWITZERLAND,"Friday, October 30, 2020 ",,delivered
0000000070,14:01,-,-,"Monday, October 26, 2020 ",,transit
0000000081,14:43,-,-,"Tuesday, November 03, 2020 ",,transit
0000000092,17:49,-,"MANILA - PHILIPPINES, THE","Monday, October 12, 2020 ",,transit
0000000114,14:30,-,-,"Tuesday, November 03, 2020 ",,transit
0000000136,13:39,-,-,"Tuesday, September 08, 2020 ",,exception
0000000140,,-,-,,,
0000000151,,-,-,,,
0000000173,09:34,-,-,"Thursday, October 01, 2020 ",,transit
0000000195,,-,-,,,
0000000206,07:48,-,-,"Tuesday, October 13, 2020 ",,transit
0000000210,14:44,-,-,"Thursday, October 08, 2020 ",,transit
0000000221,,-,-,,,
0000000243,09:12,-,-,"Monday, October 26, 2020 ",,transit
0000000280,,-,-,,,
0000000291,,-,-,,,
0000000313,10:33,-,-,"Thursday, September 24, 2020 ",,transit
0000000324,,-,-,,,
0000000372,09:26,BUENOS AIRES - ARGENTINA,-,"Tuesday, September 15, 2020 ",,delivered
0000000383,07:40,-,-,"Monday, October 05, 2020 ",,transit
0000000394,01:54,OSAKA - OSAKA SHI MIYAKOJIMA KU - JAPAN,EAST MIDLANDS - HINCKLEY - UK,"Thursday, October 22, 2020 ",1,exception
0000000420,18:09,-,-,"Friday, October 23, 2020 ",,transit
0000000475,,-,-,,,
0000000486,14:33,-,-,"Friday, October 23, 2020 ",,transit
0000000490,16:28,-,-,"Thursday, August 27, 2020 ",,transit
0000000523,09:16,-,-,"Tuesday, September 08, 2020 ",,exception
0000000545,,-,-,,,
0000000556,11:50,-,-,"Tuesday, October 06, 2020 ",,exception
0000000571,09:17,-,-,"Wednesday, September 16, 2020 ",,exception
0000000593,,-,-,,,
0000000604,,-,-,,,
0000000626,08:44,-,-,"Thursday, September 24, 2020 ",,exception
0000000630,,-,-,,,
0000000652,,-,-,,,
0000000674,07:29,-,-,"Thursday, August 27, 2020 ",,transit
0000000685,20:00,BUENOS AIRES - ARGENTINA,-,"Monday, October 05, 2020 ",,delivered
0000000696,,-,-,,,
0000000722,13:21,-,"MANILA - PHILIPPINES, THE","Thursday, October 22, 2020 ",,transit
0000000711,12:07,-,-,"Thursday, August 20, 2020 ",,exception
0000000733,09:05,-,-,"Friday, October 02, 2020 ",,transit
0000000744,,-,-,,,
0000000803,,-,-,,,
0000000814,,-,-,,,
0000000873,13:11,-,-,"Tuesday, October 27, 2020 ",,transit
0000000884,05:27,-,-,"Tuesday, November 03, 2020 ",,exception
0000000895,12:14,BUENOS AIRES - ARGENTINA,-,"Friday, October 09, 2020 ",,delivered
0000000910,17:03,-,-,"Wednesday, October 28, 2020 ",,
0000000921,,-,-,,,
0000000932,14:08,-,-,"Thursday, September 24, 2020 ",,transit
0000000954,13:04,-,-,"Tuesday, August 25, 2020 ",,exception
0000000980,,-,-,,,
0000000991,09:39,ROME - COLLEFERRO - ITALY,"EINDHOVEN - MOERDIJK - NETHERLANDS, THE","Tuesday, October 13, 2020 ",,
0000001002,09:39,"DUBLIN - MULLINGAR - IRELAND, REPUBLIC OF","EINDHOVEN - MOERDIJK - NETHERLANDS, THE","Tuesday, October 13, 2020 ",,
0000001013,09:39,"DUBLIN - DUBLIN - IRELAND, REPUBLIC OF","EINDHOVEN - MOERDIJK - NETHERLANDS, THE","Tuesday, October 13, 2020 ",,
0000001083,,-,-,,,
0000001094,09:26,BUENOS AIRES - ARGENTINA,-,"Tuesday, September 15, 2020 ",,delivered
0000001164,,-,-,,,
0000001186,10:59,BASEL - RHEINFELDEN - SWITZERLAND,"EINDHOVEN - MOERDIJK - NETHERLANDS, THE","Tuesday, October 13, 2020 ",1,
0000001330,,-,-,,,
0000001374,,-,-,,,
0000001400,,-,-,,,
0000001503,,-,-,,,
0000001621,,-,-,,,
0000001632,,-,-,,,
0000001750,,-,-,,,
0000001794,,-,-,,,
0000001820,,-,-,,,
0000001842,,-,-,,,
0000001901,10:03,BUENOS AIRES - ARGENTINA,-,"Thursday, August 27, 2020 ",,delivered
0000001956,,-,-,,,
0000001960,09:25,BUENOS AIRES - ARGENTINA,-,"Friday, August 14, 2020 ",,delivered
0000001993,,-,-,,,
0000002030,08:18,-,-,"Monday, August 31, 2020 ",,transit
0000002236,,-,-,,,
0000002306,,-,-,,,
0000002446,,-,-,,,
0000002450,,-,-,,,
0000002516,,-,-,,,
0000002564,,-,-,,,
0000002575,,-,-,,,
0000002623,,-,-,,,
0000002656,11:19,-,-,"Tuesday, October 06, 2020 ",,transit
0000002671,,-,-,,,
0000002704,,-,-,,,
0000002763,,-,-,,,
0000002774,,-,-,,,
0000002800,,-,-,,,
0000002925,,-,-,,,
0000002936,20:00,BUENOS AIRES - ARGENTINA,-,"Monday, October 05, 2020 ",,delivered
0000002951,,-,-,,,
0000002984,07:48,-,-,"Tuesday, October 13, 2020 ",,transit
0000003006,,-,-,,,
0000003065,,-,-,,,
0000003091,,-,-,,,
0000003146,,-,-,,,
0000003161,,-,-,,,
0000003183,11:38,-,-,"Thursday, October 29, 2020 ",,transit
0000003360,,-,-,,,
0000003393,23:20,-,-,"Thursday, October 08, 2020 ",,transit
0000003474,20:00,BUENOS AIRES - ARGENTINA,-,"Monday, October 26, 2020 ",,delivered
0000003522,,-,-,,,
0000003570,,-,-,,,
0000003710,17:09,-,-,"Monday, September 28, 2020 ",,transit
0000003743,07:01,-,-,"Monday, September 07, 2020 ",,transit
0000003791,08:33,-,-,"Wednesday, November 04, 2020 ",,transit
0000003846,15:06,-,-,"Monday, October 26, 2020 ",,exception
0000003916,10:27,-,-,"Thursday, October 22, 2020 ",,transit
0000003986,15:55,BUENOS AIRES - ARGENTINA,-,"Tuesday, October 27, 2020 ",,delivered
0000003990,,-,-,,,
0000004115,,-,-,,,
0000004126,,-,-,,,
0000004174,06:31,-,-,"Saturday, October 24, 2020 ",,transit
0000004303,07:17,-,-,"Wednesday, September 09, 2020 ",,transit
0000004325,,-,-,,,
0000004340,12:02,-,-,"Tuesday, August 18, 2020 ",,exception
0000004406,,-,-,,,
0000004410,09:49,-,-,"Tuesday, September 22, 2020 ",,transit
0000004620,10:27,-,-,"Monday, August 31, 2020 ",,transit
0000004675,06:12,-,-,"Thursday, September 03, 2020 ",,transit
0000004701,,-,-,,,
0000004804,09:26,BUENOS AIRES - ARGENTINA,-,"Tuesday, September 15, 2020 ",,delivered
0000004830,,-,-,,,
0000004852,09:10,-,-,"Wednesday, August 26, 2020 ",,transit
0000004955,,-,-,,,
0000005014,02:50,-,-,"Monday, September 21, 2020 ",,transit
0000005036,,-,-,,,
0000005095,,-,-,,,
0000005176,20:47,-,-,"Wednesday, October 21, 2020 ",,transit
0000005191,,-,-,,,
0000005202,,-,-,,,
0000005224,09:28,BUENOS AIRES - ARGENTINA,-,"Tuesday, September 15, 2020 ",,delivered
0000005272,,-,-,,,
0000005353,,-,-,,,
0000005364,20:00,BUENOS AIRES - ARGENTINA,-,"Monday, October 26, 2020 ",,delivered
0000005375,,-,-,,,
0000005386,03:13,-,-,"Saturday, August 29, 2020 ",,transit
0000005423,19:14,LUANDA - LUANDA - ANGOLA,JOHANNESBURG - Dublin - SOUTH AFRICA,"Wednesday, October 21, 2020 ",,
0000005482,,-,-,,,
0000005526,,-,-,,,
0000005585,,-,-,,,
0000005622,,-,-,,,
0000005655,20:00,BUENOS AIRES - ARGENTINA,-,"Monday, October 05, 2020 ",,delivered
0000005666,,-,-,,,
0000005670,,-,-,,,
0000005692,,-,-,,,
0000005714,15:54,-,-,"Saturday, October 17, 2020 ",,transit
0000005725,23:45,-,-,"Wednesday, November 04, 2020 ",,transit
0000005913,,-,-,,,
0000006042,03:51,-,-,"Wednesday, September 23, 2020 ",,transit
0000006086,,-,-,,,
0000006134,,-,-,,,
0000006156,09:05,-,-,"Thursday, October 08, 2020 ",,transit
0000006215,,-,-,,,
0000006230,,-,-,,,
0000006252,,-,-,,,
0000006296,,-,-,,,
0000006311,16:21,BUENOS AIRES - ARGENTINA,-,"Tuesday, September 08, 2020 ",,delivered
0000006322,,-,-,,,
0000006333,12:40,-,-,"Wednesday, September 02, 2020 ",,exception
0000006366,22:57,-,-,"Thursday, August 27, 2020 ",,
0000006392,07:02,-,-,"Monday, September 14, 2020 ",,transit
0000006414,,-,-,,,
0000006425,,-,-,,,
0000006451,,-,-,,,
0000006510,,-,-,,,
0000006543,09:28,-,-,"Thursday, October 22, 2020 ",,transit
0000006646,,-,-,,,
0000006661,09:35,BUENOS AIRES - ARGENTINA,-,"Tuesday, September 15, 2020 ",,delivered
0000006694,10:27,-,-,"Thursday, October 22, 2020 ",,transit
0000006716,07:48,-,-,"Tuesday, October 13, 2020 ",,transit
0000006801,,-,-,,,
0000006823,,-,-,,,
0000006860,,-,-,,,
0000006915,,-,-,,,
